Function,Derivative
- \frac{100 x^{3}}{3 \sin{\left(7 x^{2} \right)}},\frac{1400 x^{4} \cos{\left(7 x^{2} \right)}}{3 \sin^{2}{\left(7 x^{2} \right)}} - \frac{100 x^{2}}{\sin{\left(7 x^{2} \right)}}
- 3 x \sin{\left(5 x \right)},- 15 x \cos{\left(5 x \right)} - 3 \sin{\left(5 x \right)}
\frac{\sin{\left(4 x^{2} \right)}}{2 x \log{\left(- 6 x^{3} \right)}},\frac{4 \cos{\left(4 x^{2} \right)}}{\log{\left(- 6 x^{3} \right)}} - \frac{\sin{\left(4 x^{2} \right)}}{2 x^{2} \log{\left(- 6 x^{3} \right)}} - \frac{3 \sin{\left(4 x^{2} \right)}}{2 x^{2} \log{\left(- 6 x^{3} \right)}^{2}}
4 x \sin{\left(8 x \right)} \sin{\left(10 x^{2} \right)},80 x^{2} \sin{\left(8 x \right)} \cos{\left(10 x^{2} \right)} + 32 x \sin{\left(10 x^{2} \right)} \cos{\left(8 x \right)} + 4 \sin{\left(8 x \right)} \sin{\left(10 x^{2} \right)}
\frac{\tilde{\infty} \log{\left(4 x \right)}}{x^{2}},\frac{\tilde{\infty} \log{\left(4 x \right)}}{x^{3}} + \frac{\tilde{\infty}}{x^{3}}
9 x^{2},18 x
- \frac{8 x^{3} e^{6 x^{2}} \log{\left(2 x^{2} \right)}}{\sin{\left(5 x^{3} \right)}},\frac{120 x^{5} e^{6 x^{2}} \log{\left(2 x^{2} \right)} \cos{\left(5 x^{3} \right)}}{\sin^{2}{\left(5 x^{3} \right)}} - \frac{96 x^{4} e^{6 x^{2}} \log{\left(2 x^{2} \right)}}{\sin{\left(5 x^{3} \right)}} - \frac{24 x^{2} e^{6 x^{2}} \log{\left(2 x^{2} \right)}}{\sin{\left(5 x^{3} \right)}} - \frac{16 x^{2} e^{6 x^{2}}}{\sin{\left(5 x^{3} \right)}}
- 210 x^{5},- 1050 x^{4}
3 x^{2} \cos{\left(2 x^{2} \right)},- 12 x^{3} \sin{\left(2 x^{2} \right)} + 6 x \cos{\left(2 x^{2} \right)}
\tilde{\infty} \cos{\left(4 x^{2} \right)},\tilde{\infty} x \sin{\left(4 x^{2} \right)}
- 6 x^{2} \log{\left(- x^{3} \right)},- 12 x \log{\left(- x^{3} \right)} - 18 x
\text{NaN},0
6 x e^{- 9 x^{2}},- 108 x^{2} e^{- 9 x^{2}} + 6 e^{- 9 x^{2}}
0,0
e^{10 x} \log{\left(4 x^{2} \right)},10 e^{10 x} \log{\left(4 x^{2} \right)} + \frac{2 e^{10 x}}{x}
5 x^{4} \cos{\left(7 x^{3} \right)},- 105 x^{6} \sin{\left(7 x^{3} \right)} + 20 x^{3} \cos{\left(7 x^{3} \right)}
\sin{\left(7 x^{2} \right)} \cos{\left(8 x^{3} \right)},- 24 x^{2} \sin{\left(7 x^{2} \right)} \sin{\left(8 x^{3} \right)} + 14 x \cos{\left(7 x^{2} \right)} \cos{\left(8 x^{3} \right)}
\frac{3 \cos{\left(2 x \right)}}{8 x},- \frac{3 \sin{\left(2 x \right)}}{4 x} - \frac{3 \cos{\left(2 x \right)}}{8 x^{2}}
- \frac{\sin{\left(10 x^{2} \right)}}{42 x^{5} \log{\left(x \right)}},- \frac{10 \cos{\left(10 x^{2} \right)}}{21 x^{4} \log{\left(x \right)}} + \frac{5 \sin{\left(10 x^{2} \right)}}{42 x^{6} \log{\left(x \right)}} + \frac{\sin{\left(10 x^{2} \right)}}{42 x^{6} \log{\left(x \right)}^{2}}
\frac{16 x^{6}}{\sin{\left(8 x \right)}},- \frac{128 x^{6} \cos{\left(8 x \right)}}{\sin^{2}{\left(8 x \right)}} + \frac{96 x^{5}}{\sin{\left(8 x \right)}}
6 x^{5},30 x^{4}
- 8 x e^{6 x^{2}},- 96 x^{2} e^{6 x^{2}} - 8 e^{6 x^{2}}
x^{2} \cos{\left(7 x \right)},- 7 x^{2} \sin{\left(7 x \right)} + 2 x \cos{\left(7 x \right)}
\frac{\cos{\left(x^{2} \right)}}{\cos{\left(7 x \right)}},- \frac{2 x \sin{\left(x^{2} \right)}}{\cos{\left(7 x \right)}} + \frac{7 \sin{\left(7 x \right)} \cos{\left(x^{2} \right)}}{\cos^{2}{\left(7 x \right)}}
- 4 x^{3} \cos{\left(5 x^{3} \right)},60 x^{5} \sin{\left(5 x^{3} \right)} - 12 x^{2} \cos{\left(5 x^{3} \right)}
- \sin{\left(8 x \right)} \cos{\left(x^{3} \right)},3 x^{2} \sin{\left(8 x \right)} \sin{\left(x^{3} \right)} - 8 \cos{\left(8 x \right)} \cos{\left(x^{3} \right)}
\log{\left(7 x \right)} \log{\left(6 x^{3} \right)} \cos{\left(4 x \right)} \cos{\left(8 x^{3} \right)},- 24 x^{2} \log{\left(7 x \right)} \log{\left(6 x^{3} \right)} \sin{\left(8 x^{3} \right)} \cos{\left(4 x \right)} - 4 \log{\left(7 x \right)} \log{\left(6 x^{3} \right)} \sin{\left(4 x \right)} \cos{\left(8 x^{3} \right)} + \frac{3 \log{\left(7 x \right)} \cos{\left(4 x \right)} \cos{\left(8 x^{3} \right)}}{x} + \frac{\log{\left(6 x^{3} \right)} \cos{\left(4 x \right)} \cos{\left(8 x^{3} \right)}}{x}
- \frac{3 e^{2 x}}{5 \sin{\left(6 x^{3} \right)}},\frac{54 x^{2} e^{2 x} \cos{\left(6 x^{3} \right)}}{5 \sin^{2}{\left(6 x^{3} \right)}} - \frac{6 e^{2 x}}{5 \sin{\left(6 x^{3} \right)}}
\frac{294 x^{2}}{5},\frac{588 x}{5}
- \frac{2 x^{2}}{\cos{\left(2 x^{2} \right)}},- \frac{8 x^{3} \sin{\left(2 x^{2} \right)}}{\cos^{2}{\left(2 x^{2} \right)}} - \frac{4 x}{\cos{\left(2 x^{2} \right)}}
- \frac{12 x^{6} \log{\left(- 10 x \right)}}{\log{\left(- 10 x^{3} \right)}},- \frac{72 x^{5} \log{\left(- 10 x \right)}}{\log{\left(- 10 x^{3} \right)}} + \frac{36 x^{5} \log{\left(- 10 x \right)}}{\log{\left(- 10 x^{3} \right)}^{2}} - \frac{12 x^{5}}{\log{\left(- 10 x^{3} \right)}}
- x^{2} \sin{\left(10 x^{2} \right)},- 20 x^{3} \cos{\left(10 x^{2} \right)} - 2 x \sin{\left(10 x^{2} \right)}
\frac{e^{- 4 x^{3}}}{54 x^{4}},- \frac{2 e^{- 4 x^{3}}}{9 x^{2}} - \frac{2 e^{- 4 x^{3}}}{27 x^{5}}
0,0
x^{3} e^{3 x} \cos{\left(4 x^{3} \right)},- 12 x^{5} e^{3 x} \sin{\left(4 x^{3} \right)} + 3 x^{3} e^{3 x} \cos{\left(4 x^{3} \right)} + 3 x^{2} e^{3 x} \cos{\left(4 x^{3} \right)}
\frac{5 x}{3},\frac{5}{3}
\frac{9 x^{4}}{4 \log{\left(5 x \right)}},\frac{9 x^{3}}{\log{\left(5 x \right)}} - \frac{9 x^{3}}{4 \log{\left(5 x \right)}^{2}}
- \frac{\cos{\left(2 x \right)}}{4 x^{3}},\frac{\sin{\left(2 x \right)}}{2 x^{3}} + \frac{3 \cos{\left(2 x \right)}}{4 x^{4}}
2 x^{2} e^{x},2 x^{2} e^{x} + 4 x e^{x}
- \frac{\log{\left(- x^{2} \right)}}{490 x^{9}},\frac{9 \log{\left(- x^{2} \right)}}{490 x^{10}} - \frac{1}{245 x^{10}}
0,0
\frac{32 x^{5} \cos{\left(3 x^{3} \right)}}{\log{\left(3 x^{2} \right)}},- \frac{288 x^{7} \sin{\left(3 x^{3} \right)}}{\log{\left(3 x^{2} \right)}} + \frac{160 x^{4} \cos{\left(3 x^{3} \right)}}{\log{\left(3 x^{2} \right)}} - \frac{64 x^{4} \cos{\left(3 x^{3} \right)}}{\log{\left(3 x^{2} \right)}^{2}}
\frac{1}{9 x},- \frac{1}{9 x^{2}}
- \frac{\cos{\left(7 x^{3} \right)}}{\sin{\left(4 x^{2} \right)}},\frac{21 x^{2} \sin{\left(7 x^{3} \right)}}{\sin{\left(4 x^{2} \right)}} + \frac{8 x \cos{\left(4 x^{2} \right)} \cos{\left(7 x^{3} \right)}}{\sin^{2}{\left(4 x^{2} \right)}}
\frac{2}{3 x^{4}},- \frac{8}{3 x^{5}}
- 9 x \log{\left(6 x^{2} \right)},- 9 \log{\left(6 x^{2} \right)} - 18
\frac{\log{\left(- 4 x \right)}}{6 x^{3}},- \frac{\log{\left(- 4 x \right)}}{2 x^{4}} + \frac{1}{6 x^{4}}
- \frac{6 x^{3} e^{- 3 x}}{\sin{\left(x \right)}},\frac{18 x^{3} e^{- 3 x}}{\sin{\left(x \right)}} + \frac{6 x^{3} e^{- 3 x} \cos{\left(x \right)}}{\sin^{2}{\left(x \right)}} - \frac{18 x^{2} e^{- 3 x}}{\sin{\left(x \right)}}
6 x e^{- 9 x} e^{5 x^{2}},60 x^{2} e^{- 9 x} e^{5 x^{2}} - 54 x e^{- 9 x} e^{5 x^{2}} + 6 e^{- 9 x} e^{5 x^{2}}
\frac{e^{7 x} \log{\left(6 x \right)} \cos{\left(2 x \right)}}{4 x},- \frac{e^{7 x} \log{\left(6 x \right)} \sin{\left(2 x \right)}}{2 x} + \frac{7 e^{7 x} \log{\left(6 x \right)} \cos{\left(2 x \right)}}{4 x} - \frac{e^{7 x} \log{\left(6 x \right)} \cos{\left(2 x \right)}}{4 x^{2}} + \frac{e^{7 x} \cos{\left(2 x \right)}}{4 x^{2}}
- 27 x^{4},- 108 x^{3}
\frac{7 x^{4} e^{6 x^{2}}}{\log{\left(- 2 x^{2} \right)}},\frac{84 x^{5} e^{6 x^{2}}}{\log{\left(- 2 x^{2} \right)}} + \frac{28 x^{3} e^{6 x^{2}}}{\log{\left(- 2 x^{2} \right)}} - \frac{14 x^{3} e^{6 x^{2}}}{\log{\left(- 2 x^{2} \right)}^{2}}
\frac{\sin{\left(4 x^{3} \right)} \cos{\left(8 x \right)} \cos{\left(3 x^{2} \right)}}{\log{\left(10 x^{3} \right)}},\frac{12 x^{2} \cos{\left(8 x \right)} \cos{\left(3 x^{2} \right)} \cos{\left(4 x^{3} \right)}}{\log{\left(10 x^{3} \right)}} - \frac{6 x \sin{\left(3 x^{2} \right)} \sin{\left(4 x^{3} \right)} \cos{\left(8 x \right)}}{\log{\left(10 x^{3} \right)}} - \frac{8 \sin{\left(8 x \right)} \sin{\left(4 x^{3} \right)} \cos{\left(3 x^{2} \right)}}{\log{\left(10 x^{3} \right)}} - \frac{3 \sin{\left(4 x^{3} \right)} \cos{\left(8 x \right)} \cos{\left(3 x^{2} \right)}}{x \log{\left(10 x^{3} \right)}^{2}}
\frac{5 e^{- 4 x^{3}}}{3 x^{2}},- 20 e^{- 4 x^{3}} - \frac{10 e^{- 4 x^{3}}}{3 x^{3}}
0,0
0,0
16 x^{5} \sin{\left(3 x^{3} \right)},144 x^{7} \cos{\left(3 x^{3} \right)} + 80 x^{4} \sin{\left(3 x^{3} \right)}
\log{\left(7 x^{3} \right)} \log{\left(8 x^{3} \right)} \log{\left(10 x^{3} \right)},\frac{3 \log{\left(7 x^{3} \right)} \log{\left(8 x^{3} \right)}}{x} + \frac{3 \log{\left(7 x^{3} \right)} \log{\left(10 x^{3} \right)}}{x} + \frac{3 \log{\left(8 x^{3} \right)} \log{\left(10 x^{3} \right)}}{x}
e^{- 4 x^{2}} \sin{\left(6 x \right)} \cos{\left(8 x^{3} \right)},- 24 x^{2} e^{- 4 x^{2}} \sin{\left(6 x \right)} \sin{\left(8 x^{3} \right)} - 8 x e^{- 4 x^{2}} \sin{\left(6 x \right)} \cos{\left(8 x^{3} \right)} + 6 e^{- 4 x^{2}} \cos{\left(6 x \right)} \cos{\left(8 x^{3} \right)}
- \frac{\log{\left(9 x^{2} \right)}}{2 x^{2}},\frac{\log{\left(9 x^{2} \right)}}{x^{3}} - \frac{1}{x^{3}}
\frac{5}{3 x},- \frac{5}{3 x^{2}}
48 x^{5} e^{6 x^{3}} \sin{\left(5 x^{2} \right)},864 x^{7} e^{6 x^{3}} \sin{\left(5 x^{2} \right)} + 480 x^{6} e^{6 x^{3}} \cos{\left(5 x^{2} \right)} + 240 x^{4} e^{6 x^{3}} \sin{\left(5 x^{2} \right)}
- x e^{- 7 x^{2}},14 x^{2} e^{- 7 x^{2}} - e^{- 7 x^{2}}
15 x \sin{\left(6 x^{3} \right)},270 x^{3} \cos{\left(6 x^{3} \right)} + 15 \sin{\left(6 x^{3} \right)}
- \frac{5}{3 x^{2}},\frac{10}{3 x^{3}}
e^{- 8 x^{2}} \cos{\left(2 x \right)},- 16 x e^{- 8 x^{2}} \cos{\left(2 x \right)} - 2 e^{- 8 x^{2}} \sin{\left(2 x \right)}
- \sin{\left(4 x^{2} \right)},- 8 x \cos{\left(4 x^{2} \right)}
9 x^{3} e^{2 x},18 x^{3} e^{2 x} + 27 x^{2} e^{2 x}
\frac{\cos{\left(9 x^{2} \right)}}{\cos{\left(10 x \right)} \cos{\left(x^{2} \right)}},\frac{2 x \sin{\left(x^{2} \right)} \cos{\left(9 x^{2} \right)}}{\cos{\left(10 x \right)} \cos^{2}{\left(x^{2} \right)}} - \frac{18 x \sin{\left(9 x^{2} \right)}}{\cos{\left(10 x \right)} \cos{\left(x^{2} \right)}} + \frac{10 \sin{\left(10 x \right)} \cos{\left(9 x^{2} \right)}}{\cos^{2}{\left(10 x \right)} \cos{\left(x^{2} \right)}}
0,0
4 x^{2} \log{\left(- 7 x^{3} \right)},8 x \log{\left(- 7 x^{3} \right)} + 12 x
e^{- 13 x} \cos{\left(3 x \right)} \cos{\left(9 x \right)},- 3 e^{- 13 x} \sin{\left(3 x \right)} \cos{\left(9 x \right)} - 9 e^{- 13 x} \sin{\left(9 x \right)} \cos{\left(3 x \right)} - 13 e^{- 13 x} \cos{\left(3 x \right)} \cos{\left(9 x \right)}
- e^{2 x^{2}} \log{\left(- 2 x^{3} \right)} \sin{\left(9 x \right)},- 4 x e^{2 x^{2}} \log{\left(- 2 x^{3} \right)} \sin{\left(9 x \right)} - 9 e^{2 x^{2}} \log{\left(- 2 x^{3} \right)} \cos{\left(9 x \right)} - \frac{3 e^{2 x^{2}} \sin{\left(9 x \right)}}{x}
- \frac{8 e^{5 x^{3}} \cos{\left(8 x^{2} \right)}}{9 x},- \frac{40 x e^{5 x^{3}} \cos{\left(8 x^{2} \right)}}{3} + \frac{128 e^{5 x^{3}} \sin{\left(8 x^{2} \right)}}{9} + \frac{8 e^{5 x^{3}} \cos{\left(8 x^{2} \right)}}{9 x^{2}}
- \frac{10}{7 \log{\left(9 x^{3} \right)} \sin{\left(3 x \right)}},\frac{30 \cos{\left(3 x \right)}}{7 \log{\left(9 x^{3} \right)} \sin^{2}{\left(3 x \right)}} + \frac{30}{7 x \log{\left(9 x^{3} \right)}^{2} \sin{\left(3 x \right)}}
- 7 x e^{4 x} \log{\left(- 4 x^{3} \right)},- 28 x e^{4 x} \log{\left(- 4 x^{3} \right)} - 7 e^{4 x} \log{\left(- 4 x^{3} \right)} - 21 e^{4 x}
- \frac{2 x^{3} \sin{\left(2 x \right)}}{\cos{\left(9 x^{3} \right)}},- \frac{54 x^{5} \sin{\left(2 x \right)} \sin{\left(9 x^{3} \right)}}{\cos^{2}{\left(9 x^{3} \right)}} - \frac{4 x^{3} \cos{\left(2 x \right)}}{\cos{\left(9 x^{3} \right)}} - \frac{6 x^{2} \sin{\left(2 x \right)}}{\cos{\left(9 x^{3} \right)}}
- \frac{10 x^{2} \log{\left(x \right)}}{\sin{\left(6 x^{2} \right)}},\frac{120 x^{3} \log{\left(x \right)} \cos{\left(6 x^{2} \right)}}{\sin^{2}{\left(6 x^{2} \right)}} - \frac{20 x \log{\left(x \right)}}{\sin{\left(6 x^{2} \right)}} - \frac{10 x}{\sin{\left(6 x^{2} \right)}}
- \frac{\log{\left(4 x \right)} \log{\left(4 x^{3} \right)} \sin{\left(10 x \right)}}{9 x^{2}},- \frac{10 \log{\left(4 x \right)} \log{\left(4 x^{3} \right)} \cos{\left(10 x \right)}}{9 x^{2}} + \frac{2 \log{\left(4 x \right)} \log{\left(4 x^{3} \right)} \sin{\left(10 x \right)}}{9 x^{3}} - \frac{\log{\left(4 x \right)} \sin{\left(10 x \right)}}{3 x^{3}} - \frac{\log{\left(4 x^{3} \right)} \sin{\left(10 x \right)}}{9 x^{3}}
- \frac{e^{- 4 x} \sin{\left(9 x^{2} \right)}}{10 x^{3}},- \frac{9 e^{- 4 x} \cos{\left(9 x^{2} \right)}}{5 x^{2}} + \frac{2 e^{- 4 x} \sin{\left(9 x^{2} \right)}}{5 x^{3}} + \frac{3 e^{- 4 x} \sin{\left(9 x^{2} \right)}}{10 x^{4}}
\frac{6 x e^{6 x^{3}}}{\sin{\left(7 x^{3} \right)}},\frac{108 x^{3} e^{6 x^{3}}}{\sin{\left(7 x^{3} \right)}} - \frac{126 x^{3} e^{6 x^{3}} \cos{\left(7 x^{3} \right)}}{\sin^{2}{\left(7 x^{3} \right)}} + \frac{6 e^{6 x^{3}}}{\sin{\left(7 x^{3} \right)}}
3 x^{2},6 x
\frac{e^{10 x} \sin{\left(7 x^{2} \right)}}{3 x},\frac{14 e^{10 x} \cos{\left(7 x^{2} \right)}}{3} + \frac{10 e^{10 x} \sin{\left(7 x^{2} \right)}}{3 x} - \frac{e^{10 x} \sin{\left(7 x^{2} \right)}}{3 x^{2}}
- \frac{5 e^{4 x^{3}}}{3 x \sin{\left(7 x^{2} \right)}},- \frac{20 x e^{4 x^{3}}}{\sin{\left(7 x^{2} \right)}} + \frac{70 e^{4 x^{3}} \cos{\left(7 x^{2} \right)}}{3 \sin^{2}{\left(7 x^{2} \right)}} + \frac{5 e^{4 x^{3}}}{3 x^{2} \sin{\left(7 x^{2} \right)}}
- \frac{3 x e^{x}}{\log{\left(- 4 x \right)}},- \frac{3 x e^{x}}{\log{\left(- 4 x \right)}} - \frac{3 e^{x}}{\log{\left(- 4 x \right)}} + \frac{3 e^{x}}{\log{\left(- 4 x \right)}^{2}}
- \frac{\sin{\left(7 x \right)}}{\sin{\left(6 x^{2} \right)}},\frac{12 x \sin{\left(7 x \right)} \cos{\left(6 x^{2} \right)}}{\sin^{2}{\left(6 x^{2} \right)}} - \frac{7 \cos{\left(7 x \right)}}{\sin{\left(6 x^{2} \right)}}
7 x^{2} e^{2 x^{2}} \cos{\left(2 x^{2} \right)},- 28 x^{3} e^{2 x^{2}} \sin{\left(2 x^{2} \right)} + 28 x^{3} e^{2 x^{2}} \cos{\left(2 x^{2} \right)} + 14 x e^{2 x^{2}} \cos{\left(2 x^{2} \right)}
- 24 x^{5},- 120 x^{4}
- \frac{8 x^{5}}{\sin{\left(8 x^{3} \right)}},\frac{192 x^{7} \cos{\left(8 x^{3} \right)}}{\sin^{2}{\left(8 x^{3} \right)}} - \frac{40 x^{4}}{\sin{\left(8 x^{3} \right)}}
- \frac{\cos{\left(9 x \right)}}{x},\frac{9 \sin{\left(9 x \right)}}{x} + \frac{\cos{\left(9 x \right)}}{x^{2}}
6 x^{2} e^{6 x},36 x^{2} e^{6 x} + 12 x e^{6 x}
- \frac{e^{10 x^{2}} \sin{\left(9 x^{2} \right)}}{2 x^{3}},- \frac{10 e^{10 x^{2}} \sin{\left(9 x^{2} \right)}}{x^{2}} - \frac{9 e^{10 x^{2}} \cos{\left(9 x^{2} \right)}}{x^{2}} + \frac{3 e^{10 x^{2}} \sin{\left(9 x^{2} \right)}}{2 x^{4}}
- 80 x^{5} \sin{\left(4 x^{3} \right)},- 960 x^{7} \cos{\left(4 x^{3} \right)} - 400 x^{4} \sin{\left(4 x^{3} \right)}
6 x^{3} \sin{\left(2 x \right)},12 x^{3} \cos{\left(2 x \right)} + 18 x^{2} \sin{\left(2 x \right)}
4 x^{3} e^{- 3 x},- 12 x^{3} e^{- 3 x} + 12 x^{2} e^{- 3 x}
\frac{10 x^{2} e^{8 x}}{\log{\left(2 x^{2} \right)}},\frac{80 x^{2} e^{8 x}}{\log{\left(2 x^{2} \right)}} + \frac{20 x e^{8 x}}{\log{\left(2 x^{2} \right)}} - \frac{20 x e^{8 x}}{\log{\left(2 x^{2} \right)}^{2}}
- \frac{2 x^{2}}{\cos{\left(4 x^{2} \right)}},- \frac{16 x^{3} \sin{\left(4 x^{2} \right)}}{\cos^{2}{\left(4 x^{2} \right)}} - \frac{4 x}{\cos{\left(4 x^{2} \right)}}
x^{2} \log{\left(- 2 x^{3} \right)},2 x \log{\left(- 2 x^{3} \right)} + 3 x
0,0
\frac{9 x^{4}}{\sin{\left(7 x^{2} \right)}},- \frac{126 x^{5} \cos{\left(7 x^{2} \right)}}{\sin^{2}{\left(7 x^{2} \right)}} + \frac{36 x^{3}}{\sin{\left(7 x^{2} \right)}}
\frac{4 x e^{- 3 x^{3}}}{3},- 12 x^{3} e^{- 3 x^{3}} + \frac{4 e^{- 3 x^{3}}}{3}
\frac{\log{\left(3 x \right)}}{36 x^{5}},- \frac{5 \log{\left(3 x \right)}}{36 x^{6}} + \frac{1}{36 x^{6}}
\frac{7 x^{2} e^{2 x^{3}} \log{\left(- 4 x \right)}}{\log{\left(- 9 x \right)}},\frac{42 x^{4} e^{2 x^{3}} \log{\left(- 4 x \right)}}{\log{\left(- 9 x \right)}} + \frac{14 x e^{2 x^{3}} \log{\left(- 4 x \right)}}{\log{\left(- 9 x \right)}} + \frac{7 x e^{2 x^{3}}}{\log{\left(- 9 x \right)}} - \frac{7 x e^{2 x^{3}} \log{\left(- 4 x \right)}}{\log{\left(- 9 x \right)}^{2}}
\log{\left(- 4 x^{2} \right)} \log{\left(x^{2} \right)},\frac{2 \log{\left(- 4 x^{2} \right)}}{x} + \frac{2 \log{\left(x^{2} \right)}}{x}
\frac{35 x^{5}}{2},\frac{175 x^{4}}{2}
- 6 x^{3} e^{- 4 x^{3}} \log{\left(2 x \right)},72 x^{5} e^{- 4 x^{3}} \log{\left(2 x \right)} - 18 x^{2} e^{- 4 x^{3}} \log{\left(2 x \right)} - 6 x^{2} e^{- 4 x^{3}}
\frac{2}{x^{2}},- \frac{4}{x^{3}}
\frac{\log{\left(4 x \right)} \log{\left(5 x \right)}}{\log{\left(- 9 x^{2} \right)}},- \frac{2 \log{\left(4 x \right)} \log{\left(5 x \right)}}{x \log{\left(- 9 x^{2} \right)}^{2}} + \frac{\log{\left(4 x \right)}}{x \log{\left(- 9 x^{2} \right)}} + \frac{\log{\left(5 x \right)}}{x \log{\left(- 9 x^{2} \right)}}
- \frac{24 x^{4}}{\log{\left(5 x^{3} \right)}},- \frac{96 x^{3}}{\log{\left(5 x^{3} \right)}} + \frac{72 x^{3}}{\log{\left(5 x^{3} \right)}^{2}}
- \frac{\cos{\left(5 x^{2} \right)}}{4 x^{2}},\frac{5 \sin{\left(5 x^{2} \right)}}{2 x} + \frac{\cos{\left(5 x^{2} \right)}}{2 x^{3}}
- \frac{4 x \log{\left(- 2 x^{3} \right)} \sin{\left(7 x^{2} \right)}}{\log{\left(3 x^{2} \right)}},- \frac{56 x^{2} \log{\left(- 2 x^{3} \right)} \cos{\left(7 x^{2} \right)}}{\log{\left(3 x^{2} \right)}} - \frac{4 \log{\left(- 2 x^{3} \right)} \sin{\left(7 x^{2} \right)}}{\log{\left(3 x^{2} \right)}} - \frac{12 \sin{\left(7 x^{2} \right)}}{\log{\left(3 x^{2} \right)}} + \frac{8 \log{\left(- 2 x^{3} \right)} \sin{\left(7 x^{2} \right)}}{\log{\left(3 x^{2} \right)}^{2}}
- 5 x^{3} \log{\left(- 3 x \right)} \sin{\left(10 x \right)},- 50 x^{3} \log{\left(- 3 x \right)} \cos{\left(10 x \right)} - 15 x^{2} \log{\left(- 3 x \right)} \sin{\left(10 x \right)} - 5 x^{2} \sin{\left(10 x \right)}
\tilde{\infty} x^{4} \sin{\left(3 x^{3} \right)},\tilde{\infty} x^{6} \cos{\left(3 x^{3} \right)} + \tilde{\infty} x^{3} \sin{\left(3 x^{3} \right)}
\frac{32 x^{4}}{\sin{\left(6 x^{2} \right)}},- \frac{384 x^{5} \cos{\left(6 x^{2} \right)}}{\sin^{2}{\left(6 x^{2} \right)}} + \frac{128 x^{3}}{\sin{\left(6 x^{2} \right)}}
\frac{e^{10 x^{2}} \cos{\left(10 x^{3} \right)}}{4 x^{6}},- \frac{15 e^{10 x^{2}} \sin{\left(10 x^{3} \right)}}{2 x^{4}} + \frac{5 e^{10 x^{2}} \cos{\left(10 x^{3} \right)}}{x^{5}} - \frac{3 e^{10 x^{2}} \cos{\left(10 x^{3} \right)}}{2 x^{7}}
\frac{e^{- 10 x^{3}}}{80 x^{8}},- \frac{3 e^{- 10 x^{3}}}{8 x^{6}} - \frac{e^{- 10 x^{3}}}{10 x^{9}}
\frac{3 x^{5} e^{- 8 x^{3}}}{\log{\left(- 8 x \right)}},- \frac{72 x^{7} e^{- 8 x^{3}}}{\log{\left(- 8 x \right)}} + \frac{15 x^{4} e^{- 8 x^{3}}}{\log{\left(- 8 x \right)}} - \frac{3 x^{4} e^{- 8 x^{3}}}{\log{\left(- 8 x \right)}^{2}}
\frac{e^{- 6 x^{2}} \sin{\left(4 x \right)}}{8},- \frac{3 x e^{- 6 x^{2}} \sin{\left(4 x \right)}}{2} + \frac{e^{- 6 x^{2}} \cos{\left(4 x \right)}}{2}
- \frac{10 x \sin{\left(x \right)} \sin{\left(3 x^{2} \right)}}{3},- 20 x^{2} \sin{\left(x \right)} \cos{\left(3 x^{2} \right)} - \frac{10 x \sin{\left(3 x^{2} \right)} \cos{\left(x \right)}}{3} - \frac{10 \sin{\left(x \right)} \sin{\left(3 x^{2} \right)}}{3}
\frac{e^{- 3 x} \log{\left(2 x^{3} \right)}}{8 x^{3}},- \frac{3 e^{- 3 x} \log{\left(2 x^{3} \right)}}{8 x^{3}} - \frac{3 e^{- 3 x} \log{\left(2 x^{3} \right)}}{8 x^{4}} + \frac{3 e^{- 3 x}}{8 x^{4}}
- \frac{e^{10 x} e^{- 9 x^{3}} \cos{\left(6 x^{3} \right)}}{4 x},\frac{9 x e^{10 x} e^{- 9 x^{3}} \sin{\left(6 x^{3} \right)}}{2} + \frac{27 x e^{10 x} e^{- 9 x^{3}} \cos{\left(6 x^{3} \right)}}{4} - \frac{5 e^{10 x} e^{- 9 x^{3}} \cos{\left(6 x^{3} \right)}}{2 x} + \frac{e^{10 x} e^{- 9 x^{3}} \cos{\left(6 x^{3} \right)}}{4 x^{2}}
\cos{\left(x^{2} \right)} \cos{\left(3 x^{2} \right)},- 2 x \sin{\left(x^{2} \right)} \cos{\left(3 x^{2} \right)} - 6 x \sin{\left(3 x^{2} \right)} \cos{\left(x^{2} \right)}
- \frac{\sin{\left(5 x^{2} \right)}}{3 x^{3} \log{\left(- 10 x^{2} \right)}},- \frac{10 \cos{\left(5 x^{2} \right)}}{3 x^{2} \log{\left(- 10 x^{2} \right)}} + \frac{\sin{\left(5 x^{2} \right)}}{x^{4} \log{\left(- 10 x^{2} \right)}} + \frac{2 \sin{\left(5 x^{2} \right)}}{3 x^{4} \log{\left(- 10 x^{2} \right)}^{2}}
- 12 x^{4},- 48 x^{3}
- 9 x^{2} \log{\left(10 x^{3} \right)},- 18 x \log{\left(10 x^{3} \right)} - 27 x
4 x^{2} \log{\left(8 x^{2} \right)},8 x \log{\left(8 x^{2} \right)} + 8 x
\frac{e^{8 x^{2}}}{10 x^{6}},\frac{8 e^{8 x^{2}}}{5 x^{5}} - \frac{3 e^{8 x^{2}}}{5 x^{7}}
\sin{\left(3 x^{3} \right)} \cos{\left(8 x \right)},9 x^{2} \cos{\left(8 x \right)} \cos{\left(3 x^{3} \right)} - 8 \sin{\left(8 x \right)} \sin{\left(3 x^{3} \right)}
